ast,blk,drb,fg,fg3,fg3a,fga,ft,fta,mp,orb,pf,player_name,pts,stl,tov,trb,gameUID,date,team
9,1,2,2,0,0,5,2,2,31:00,1,2,John Stockton,6,3,3,3,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,4,5,0,0,0,4,0,0,24:00,1,5,Mark Eaton,0,0,2,6,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
2,0,3,6,0,0,9,1,3,23:00,3,4,Karl Malone,13,1,2,6,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
1,0,3,4,0,0,10,3,3,28:00,2,1,Thurl Bailey,11,2,1,5,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,0,5,3,0,0,8,2,2,22:00,0,3,Jeff Wilkins,8,0,2,5,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
1,0,0,3,0,0,8,5,8,18:00,0,1,Rickey Green,11,4,1,0,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,0,1,0,0,0,2,4,4,9:00,0,0,Fred Roberts,4,0,0,1,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,0,1,0,0,0,0,1,2,3:00,0,0,Steve Hayes,1,0,0,1,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,0,1,0,0,0,0,0,0,3:00,0,0,Carey Scurry,0,0,0,1,52f29fa1ddbd75540aba6dcd,1985-10-30,Utah Jazz
0,1,4,10,0,0,25,0,0,34:00,1,4,Mike Mitchell,20,1,3,5,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
1,1,6,5,0,0,8,10,14,30:00,3,5,Artis Gilmore,20,0,2,9,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
3,0,3,1,0,0,6,2,2,30:00,2,3,Alvin Robertson,4,4,7,5,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
1,0,2,1,0,0,5,3,4,21:00,0,4,Marc Iavaroni,5,0,2,2,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
6,0,3,1,0,0,2,0,0,16:00,0,1,Wes Matthews,2,1,3,3,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
1,3,4,8,0,0,10,1,1,28:00,1,5,Dave Greenwood,17,0,2,5,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
3,0,5,2,0,0,5,1,1,19:00,0,0,Alfredrick Hughes,5,1,1,5,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
5,0,3,5,0,0,7,0,0,17:00,0,2,Jon Sundvold,10,0,2,3,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
1,4,4,5,0,0,8,0,0,16:00,2,3,Steve Johnson,10,0,1,6,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
4,0,1,3,0,1,7,1,2,16:00,1,2,Johnny Moore,7,1,3,2,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
3,0,0,0,0,0,0,0,0,13:00,0,2,Jeff Cook,0,0,0,0,52f29fa1ddbd75540aba6dcd,1985-10-30,San Antonio Spurs
2,0,3,6,0,0,19,5,5,37:00,0,3,Alex English,17,2,4,3,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
2,1,4,7,0,0,11,1,1,33:00,3,1,Fat Lever,15,0,2,7,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
0,0,4,4,0,0,8,3,4,27:00,1,5,Calvin Natt,11,1,2,5,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
2,0,3,3,0,0,6,0,0,26:00,1,4,T.R. Dunn,6,4,1,4,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
2,2,1,3,0,0,8,0,0,24:00,1,2,Wayne Cooper,6,0,2,2,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
3,0,2,3,0,0,7,2,2,28:00,0,3,Bill Hanzlik,8,0,3,2,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
1,1,7,4,0,0,8,4,5,21:00,4,2,Danny Schayes,12,2,2,11,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
5,0,2,2,0,0,3,0,0,19:00,2,4,Elston Turner,4,0,3,4,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
2,0,1,3,2,5,8,1,2,16:00,0,3,Mike Evans,9,1,1,1,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
0,0,0,0,0,0,1,2,2,4:00,0,1,Pete Williams,2,1,1,0,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
0,0,1,0,0,0,1,0,0,3:00,1,0,Blair Rasmussen,0,0,1,2,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
0,0,0,0,0,0,2,0,0,2:00,0,0,Willie White,0,0,0,0,52f29fa2ddbd75540aba6dce,1985-10-31,Denver Nuggets
1,0,3,6,0,0,15,3,6,40:00,3,3,Tom Chambers,15,0,2,6,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
4,1,11,5,0,0,9,8,8,36:00,2,3,Jack Sikma,18,2,5,13,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
1,0,3,3,0,0,9,2,2,33:00,1,3,Gerald Henderson,8,1,3,4,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
1,0,2,4,0,1,9,0,0,32:00,0,2,Al Wood,8,1,5,2,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
1,0,3,5,0,0,9,0,2,25:00,2,6,Xavier McDaniel,10,1,2,5,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
1,0,2,2,0,1,6,0,0,19:00,0,0,Danny Young,4,0,2,2,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
3,0,3,1,0,0,2,0,0,18:00,2,4,Danny Vranes,2,0,1,5,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
1,0,0,0,0,2,3,5,6,16:00,0,1,Ricky Sobers,5,0,5,0,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
0,4,2,0,0,0,1,0,0,11:00,0,4,George Johnson,0,0,0,2,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
0,0,0,0,0,0,1,1,4,4:00,1,1,Alex Stivrins,1,0,2,1,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
0,0,0,0,0,0,3,0,2,4:00,0,0,Michael Phelps,0,0,1,0,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
0,0,1,1,0,0,1,0,0,2:00,1,0,Brian Martin,2,0,0,2,52f29fa2ddbd75540aba6dce,1985-10-31,Seattle SuperSonics
5,0,1,6,0,0,15,2,2,38:00,3,2,Rolando Blackman,14,1,2,4,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
5,1,6,15,0,0,27,12,15,36:00,1,5,Mark Aguirre,42,2,2,7,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
0,2,8,5,0,1,13,2,2,30:00,3,4,Sam Perkins,12,1,3,11,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
5,1,0,4,1,5,8,1,1,29:00,0,0,Brad Davis,10,2,2,0,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
1,0,6,2,0,0,7,0,0,25:00,3,2,Wallace Bryant,4,0,0,9,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
5,0,3,5,0,0,7,4,4,24:00,0,0,Derek Harper,14,0,1,3,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
2,0,2,5,0,0,10,6,6,23:00,0,2,Jay Vincent,16,0,4,2,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
2,1,4,1,0,0,1,4,4,23:00,1,1,Kurt Nimphius,6,0,1,5,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
0,0,0,0,0,0,1,1,2,10:00,1,1,Detlef Schrempf,1,0,1,1,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
0,0,0,0,0,0,2,0,0,2:00,1,0,Dale Ellis,0,0,0,1,52f29fa7ddbd75540aba6dda,1985-11-02,Dallas Mavericks
5,0,6,8,0,1,24,2,4,38:00,2,5,Eddie Johnson,18,0,2,8,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
7,0,2,7,0,1,16,2,2,37:00,2,2,Reggie Theus,16,2,3,4,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
3,0,4,10,0,0,13,4,7,36:00,0,2,Otis Thorpe,24,1,1,4,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
12,0,1,10,1,3,21,0,0,36:00,1,5,Larry Drew,21,4,1,2,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
1,0,6,7,0,0,10,0,0,21:00,2,5,Joe Kleine,14,0,3,8,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
1,2,7,4,0,0,6,0,0,27:00,1,5,LaSalle Thompson,8,0,1,8,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
4,2,0,5,0,0,10,0,0,23:00,1,1,Mike Woodson,10,1,2,1,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
6,0,2,1,0,0,2,0,0,22:00,4,4,Mark Olberding,2,0,1,6,52f29fa7ddbd75540aba6dda,1985-11-02,Sacramento Kings
3,2,1,5,0,1,12,2,4,36:00,1,4,James Worthy,12,1,1,2,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
3,0,5,14,0,0,19,3,4,33:00,2,5,Kareem Abdul-Jabbar,31,1,3,7,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
13,0,3,2,0,1,6,3,6,33:00,0,1,Magic Johnson,7,1,4,3,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
1,0,2,7,0,0,12,2,2,29:00,0,1,Byron Scott,16,0,0,2,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
0,0,8,1,0,0,2,0,0,19:00,1,3,Kurt Rambis,2,0,2,9,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
0,1,1,2,0,0,3,4,4,22:00,1,3,A.C. Green,8,1,0,2,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
1,0,0,5,1,1,9,3,3,19:00,1,1,Mike McGee,14,0,0,1,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
2,0,2,3,0,0,7,0,0,19:00,0,3,Maurice Lucas,6,0,3,2,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
0,0,2,7,0,0,8,1,2,15:00,3,2,Mitch Kupchak,15,0,1,5,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
2,0,3,3,1,3,6,2,2,15:00,0,1,Michael Cooper,9,0,1,3,52f29fa7ddbd75540aba6ddb,1985-11-02,Los Angeles Lakers
1,1,7,3,0,0,6,3,7,40:00,3,4,Larry Smith,9,1,2,10,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
6,3,8,12,0,0,22,4,4,34:00,2,3,Joe Barry Carroll,28,3,2,10,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
0,2,3,6,0,0,15,4,4,32:00,1,4,Terry Teagle,16,0,1,4,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
11,0,3,7,2,3,10,2,2,31:00,0,5,Sleepy Floyd,18,1,4,3,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
1,1,0,9,0,0,14,0,0,29:00,0,5,Peter Thibeaux,18,0,3,0,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
0,2,2,5,0,0,8,1,2,26:00,2,3,Pete Verhoeven,11,1,1,4,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
3,0,0,1,0,0,2,1,2,20:00,0,3,Geoff Huston,3,0,1,0,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
0,0,2,3,0,0,6,1,2,14:00,1,1,Jerome Whitehead,7,0,1,3,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
3,0,0,2,0,0,3,2,4,13:00,0,0,Lester Conner,6,0,0,0,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
0,0,0,0,0,0,0,0,0,1:00,0,0,Guy Williams,0,0,0,0,52f29fa7ddbd75540aba6ddb,1985-11-02,Golden State Warriors
