coach_id,year,team,Name
MichaelCurry,2008-09,DET,Michael Curry
DonNelson,2008-09,GSW,Don Nelson
RickAdelman,2008-09,HOU,Rick Adelman
JimO'Brien,2008-09,IND,Jim O'Brien
MikeDunleavy,2008-09,LAC,Mike Dunleavy
PhilJackson,2008-09,LAL,Phil Jackson
LionelHollins,2008-09,MEM,Lionel Hollins
ErikSpoelstra,2008-09,MIA,Erik Spoelstra
ScottSkiles,2008-09,MIL,Scott Skiles
RandyWittman,2008-09,MIN,Randy Wittman
LarryFrank,2008-09,BKN,Larry Frank
ByronScott,2008-09,NOH,Byron Scott
MikeD'Antoni,2008-09,NYK,Mike D'Antoni
PJCarlesimo,2008-09,OKC,PJ Carlesimo
StanVan Gundy,2008-09,ORL,Stan Van Gundy
MauriceCheeks,2008-09,PHI,Maurice Cheeks
TerryPorter,2008-09,PHO,Terry Porter
NateMcMillan,2008-09,POR,Nate McMillan
ReggieTheus,2008-09,SAC,Reggie Theus
GreggPopovich,2008-09,SAS,Gregg Popovich
SamMitchell,2008-09,TOR,Sam Mitchell
JerrySloan,2008-09,UTA,Jerry Sloan
EddieJordan,2008-09,WAS,Eddie Jordan
MikeWoodson,2009-10,ATL,Mike Woodson
DocRivers,2009-10,BOS,Doc Rivers
VinnyDel Negro,2009-10,CHI,Vinny Del Negro
LarryBrown,2009-10,CHR,Larry Brown
MikeBrown,2009-10,CLE,Mike Brown
RickCarlisle,2009-10,DAL,Rick Carlisle
GeorgeKarl,2009-10,DEN,George Karl
JohnKuester,2009-10,DET,John Kuester
DonNelson,2009-10,GSW,Don Nelson
RickAdelman,2009-10,HOU,Rick Adelman
JimO'Brien,2009-10,IND,Jim O'Brien
MikeDunleavy,2009-10,LAC,Mike Dunleavy
PhilJackson,2009-10,LAL,Phil Jackson
LionelHollins,2009-10,MEM,Lionel Hollins
ErikSpoelstra,2009-10,MIA,Erik Spoelstra
ScottSkiles,2009-10,MIL,Scott Skiles
KurtRambis,2009-10,MIN,Kurt Rambis
TomBarrise,2009-10,BKN,Tom Barrise
JeffBower,2009-10,NOH,Jeff Bower
MikeD'Antoni,2009-10,NYK,Mike D'Antoni
ScottBrooks,2009-10,OKC,Scott Brooks
StanVan Gundy,2009-10,ORL,Stan Van Gundy
EddieJordan,2009-10,PHI,Eddie Jordan
AlvinGentry,2009-10,PHO,Alvin Gentry
NateMcMillan,2009-10,POR,Nate McMillan
PaulWestphal,2009-10,SAC,Paul Westphal
GreggPopovich,2009-10,SAS,Gregg Popovich
JayTriano,2009-10,TOR,Jay Triano
JerrySloan,2009-10,UTA,Jerry Sloan
FlipSaunders,2009-10,WAS,Flip Saunders
